 (  23.334043515256372     ,  0.0000000000000000     ) ( -8.4316409573455520     ,  0.0000000000000000     ) (  70.915641445077199     ,  0.0000000000000000     )
 (  15.055842256377673     ,  0.0000000000000000     ) (  75.485686093545951     ,  0.0000000000000000     ) (  15.053929548887355     ,  0.0000000000000000     )
 (  6.4451053625686079     ,  0.0000000000000000     ) ( -2.9996838446856291     ,  0.0000000000000000     ) (  12.581434630784264     ,  0.0000000000000000     )
 (  3.3734701295850100     ,  0.0000000000000000     ) ( -25.155191633975829     ,  0.0000000000000000     ) (  81.734828741370748     ,  0.0000000000000000     )
 (  45.544851418637819     ,  0.0000000000000000     ) (  139.41731588353531     ,  0.0000000000000000     ) (  36.940696822399026     ,  0.0000000000000000     )
 ( -13.178427254360606     ,  0.0000000000000000     ) (  41.796421860330682     ,  0.0000000000000000     ) ( -17.195334532119972     ,  0.0000000000000000     )
 ( -4.0968535930099099     ,  0.0000000000000000     ) (  10.721830425774669     ,  0.0000000000000000     ) ( 5.32647998129718303E-002,  0.0000000000000000     )
 ( -36.139501793938038     ,  0.0000000000000000     ) (  10.639150606630551     ,  0.0000000000000000     ) ( -10.957811006198607     ,  0.0000000000000000     )
 (  13.344205448896965     ,  0.0000000000000000     ) (  6.3976091641512616     ,  0.0000000000000000     ) ( -6.0051224398725322     ,  0.0000000000000000     )
 (  23.592070230115311     ,  0.0000000000000000     ) (  5.2455663202485008     ,  0.0000000000000000     ) (  7.0458880939972950     ,  0.0000000000000000     )
 (  49.997484429039410     ,  0.0000000000000000     ) (  26.398222883900850     ,  0.0000000000000000     ) (  19.182320079631705     ,  0.0000000000000000     )
 (  21.568933735354388     ,  0.0000000000000000     ) (  111.22884340242240     ,  0.0000000000000000     ) (  9.9834665482348850     ,  0.0000000000000000     )
 (  53.059133522210551     ,  0.0000000000000000     ) (  46.366781062931572     ,  0.0000000000000000     ) (-0.23066603722591572     ,  0.0000000000000000     )
 ( -10.998535528233084     ,  0.0000000000000000     ) (  25.923896782671697     ,  0.0000000000000000     ) (  1.7749070471502004     ,  0.0000000000000000     )
 (  36.756400638794389     ,  0.0000000000000000     ) (  15.120449505938982     ,  0.0000000000000000     ) ( -18.496800240975659     ,  0.0000000000000000     )
 ( -51.477786952734256     ,  0.0000000000000000     ) (  10.463598894710591     ,  0.0000000000000000     ) (  133.82339638277111     ,  0.0000000000000000     )
 (  29.809032310985071     ,  0.0000000000000000     ) (  86.115334561397134     ,  0.0000000000000000     ) (  3.7979209551013708     ,  0.0000000000000000     )
 ( -21.475660470791716     ,  0.0000000000000000     ) (  23.558707527666481     ,  0.0000000000000000     ) (  5.3334526064659400     ,  0.0000000000000000     )
 (  25.617086081798995     ,  0.0000000000000000     ) (  40.728237030903571     ,  0.0000000000000000     ) (  17.094344064045121     ,  0.0000000000000000     )
 ( -18.283789312190198     ,  0.0000000000000000     ) (  16.212406392036264     ,  0.0000000000000000     ) ( -20.000804614583846     ,  0.0000000000000000     )
