 (  1.3481018822321551     ,  0.0000000000000000     ) ( -3.5982454627970584     ,  0.0000000000000000     ) (  2.5708282897684462     ,  0.0000000000000000     )
 ( -8.1005204827398440     ,  0.0000000000000000     ) ( -5.1454540176843757     ,  0.0000000000000000     ) (-0.69448740763769679     ,  0.0000000000000000     )
 (  9.8054809455989602     ,  0.0000000000000000     ) ( -5.3355138904778219     ,  0.0000000000000000     ) ( -8.4430616263044378     ,  0.0000000000000000     )
 ( -2.1973658076692244     ,  0.0000000000000000     ) ( 0.52831399157729342     ,  0.0000000000000000     ) (  3.9303917334319429     ,  0.0000000000000000     )
 (  8.6223150557741306     ,  0.0000000000000000     ) ( -3.6530713318875390     ,  0.0000000000000000     ) ( -13.503132170956922     ,  0.0000000000000000     )
 (  15.041956622706691     ,  0.0000000000000000     ) (  6.3559811925918526     ,  0.0000000000000000     ) (  4.5648288082350170     ,  0.0000000000000000     )
 ( -1.3009597703817362     ,  0.0000000000000000     ) ( 0.48419385755547184     ,  0.0000000000000000     ) (  1.3960748401724490     ,  0.0000000000000000     )
 ( -8.6468340842195239     ,  0.0000000000000000     ) (  1.7766223202716636     ,  0.0000000000000000     ) (  2.8529220612628956     ,  0.0000000000000000     )
 ( -4.1889173358842138     ,  0.0000000000000000     ) (-0.65131376421221154     ,  0.0000000000000000     ) (  3.4872002290188608     ,  0.0000000000000000     )
 ( -9.8970826318561578     ,  0.0000000000000000     ) ( -11.208812507416356     ,  0.0000000000000000     ) ( -5.1566542259791843     ,  0.0000000000000000     )
 ( -4.9297831648749471     ,  0.0000000000000000     ) ( -4.3893830311917306     ,  0.0000000000000000     ) (  3.2933990781244078     ,  0.0000000000000000     )
 (  1.2830602784899168     ,  0.0000000000000000     ) ( -4.4064764729893309     ,  0.0000000000000000     ) ( 3.83622885280370807E-002,  0.0000000000000000     )
 (-0.61789949590312976     ,  0.0000000000000000     ) (  7.4020240289954113     ,  0.0000000000000000     ) ( -1.5136427159291657     ,  0.0000000000000000     )
 ( -2.3091258468043989     ,  0.0000000000000000     ) ( -3.1870018596963634     ,  0.0000000000000000     ) ( -2.6348134084262211     ,  0.0000000000000000     )
 ( -6.9440133907118780     ,  0.0000000000000000     ) ( -6.3391922546350781     ,  0.0000000000000000     ) (  2.7428174486643364     ,  0.0000000000000000     )
 ( -8.1805613965565875     ,  0.0000000000000000     ) ( -5.7932122983707091     ,  0.0000000000000000     ) (  1.0518803253218314     ,  0.0000000000000000     )
 ( -3.8283243674824687     ,  0.0000000000000000     ) (-0.17559353472298730     ,  0.0000000000000000     ) (  1.7955238204348334     ,  0.0000000000000000     )
 ( -11.327490756644711     ,  0.0000000000000000     ) ( -11.265338001127205     ,  0.0000000000000000     ) ( -6.3976830422857542     ,  0.0000000000000000     )
 (  3.6183187697956525     ,  0.0000000000000000     ) ( 9.83875284386403481E-002,  0.0000000000000000     ) ( -3.4231214826447269     ,  0.0000000000000000     )
 ( -4.4768575802170405     ,  0.0000000000000000     ) (  1.9970419649772628     ,  0.0000000000000000     ) (  3.2133790622295182     ,  0.0000000000000000     )
