(31.022757, 0)
(-49.393078, 0)
(-7.477968, 0)
(8.115543, 0)
(-8.939150, 0)
(-20.752287, 0)
(14.397547, 0)
(-24.028084, 0)
(0.724906, 0)
(30.728260, 0)
(-13.849565, 0)
(-7.558593, 0)
(30.735510, 0)
(-30.140196, 0)
(-10.876066, 0)
(-14.808187, 0)
(-33.945850, 0)
(2.670413, 0)
(13.841332, 0)
(-6.774367, 0)
(5.224188, 0)
(34.315842, 0)
(-24.860897, 0)
(4.931579, 0)
(29.814262, 0)
(-13.216510, 0)
(-7.377315, 0)
(24.708759, 0)
(-44.785938, 0)
(-17.882263, 0)
(27.510937, 0)
(-26.275658, 0)
(-15.544428, 0)
(36.148594, 0)
(-26.743525, 0)
(-20.715950, 0)
(22.234695, 0)
(-4.310616, 0)
(-1.744717, 0)
(20.948856, 0)
(-29.858152, 0)
(-18.933784, 0)
(35.184025, 0)
(-1.844433, 0)
(-42.959358, 0)
(27.102308, 0)
(-26.545517, 0)
(0.003390, 0)
(16.057913, 0)
(-18.876753, 0)
(-9.687165, 0)
(15.054338, 0)
(6.946636, 0)
(-5.234556, 0)
(28.267202, 0)
(-12.088108, 0)
(-20.957249, 0)
(14.632889, 0)
(-33.417786, 0)
(-16.052816, 0)

