 ( -8.6492627665168769     ,-1.09814724587688813E-015) (  1.1221881804760274     ,-6.38455592396616356E-016) (  5.1888436157343687     , 7.00054965045326961E-016)
 ( -16.613140988615804     ,-5.38456338545260093E-018) (  1.7722281620365301     , 4.60189451602245267E-017) (  16.469723651226943     , 1.76547466121884778E-017)
 ( -17.077445132291210     , 1.08613030421588577E-015) (  4.2610957144749175     , 5.38709919592124494E-018) ( -5.0695697381191973     , 1.59666973517018798E-016)
 ( -10.047330271621956     ,-3.02937763331575437E-017) (-0.39730962316766227     ,-6.71520773998113737E-017) (  1.7397215978251512     ,-1.40016156162385664E-016)
 ( -3.0330149692845181     ,-5.01173425800310818E-016) ( -6.1345695505212507     ,-2.39423951172691170E-016) ( -23.125229636775138     ,-1.08536572374295977E-017)
 ( -8.4701207391584497     ,-3.79967890234747626E-016) ( -6.2428190180952638     ,-1.81852680720975773E-016) ( -4.6937337884789407     ,-8.97593157704702434E-017)
 ( -4.2994140568874490     , 7.43904470920274855E-017) ( -1.1029657587657322     , 1.77529935409815320E-016) ( -12.193574793699685     , 3.57424181456055199E-017)
 ( -5.5980717451197277     ,-7.64194487927281756E-017) (  5.7536680565209073     , 1.15792894935598012E-016) (  8.2670071483940113     ,-1.67354714342284872E-017)
 ( -12.903126474815290     ,-1.37856715306171625E-015) (  9.7967106070713008     ,-1.12102139464695276E-015) (  10.689583056239860     , 2.04847106389300307E-018)
 (  5.0468738723004574     ,-5.79970896065270935E-016) (  11.923570204318622     , 1.20494254467266350E-015) ( -21.383059475962668     , 7.68452756274212177E-017)
 ( -7.8145511128618228     ,-5.35398820857066212E-016) (  1.0212096891176623     ,-8.63684725644904540E-016) (  1.7374584736341481     , 1.97792036599757145E-016)
 (-0.21134899660360884     ,-6.32746227969754211E-016) (-0.90909499628052304     , 1.22935056834372859E-016) ( -9.7958365994534802     , 1.07286137116933095E-017)
 (-0.39186162742234831     ,-2.52983479428299767E-016) (  2.0053298492435445     ,-4.50932175253921288E-017) ( -23.000929874936485     ,-2.54691540008898976E-017)
 ( -7.1002649606406525     , 1.62287969281100497E-017) (  3.1226330491412595     , 2.79928571225945960E-016) (  5.2993634164942280     , 5.18407430831976784E-017)
 ( 0.20072631360561033     , 4.51450466501517437E-016) ( -7.0776649786576371     ,-2.80106889076008797E-016) ( -23.192483444315336     ,-5.25500934718518357E-017)
 ( -8.8539994741699992     ,-1.08084676126945547E-015) (  2.1276095822891481     ,-4.85742054801077980E-017) (  4.7025557605014807     ,-3.67543435921419835E-016)
 ( 0.65760369564784504     ,-1.96245863726037452E-016) (  3.0865805494223757     , 1.06861439539487756E-015) ( -12.189725240360735     ,-4.67467739320058495E-017)
 ( -7.8020219651232496     , 6.55032266169224689E-018) ( -11.960048434777150     ,-1.48791110028870687E-015) ( -9.2878734780309067     ,-3.66114295487959737E-017)
 ( -18.277969200406627     , 5.49630820173512724E-017) (  2.1140576301186513     , 7.51694914355783640E-016) (  15.922247314182934     , 4.43284997396447180E-016)
 ( -5.2531336805113540     ,-5.98850377721131999E-016) ( -5.7962179286420179     ,-2.49986244440629758E-016) ( -24.467566997904555     ,-7.30290873839951981E-018)
