 ( -26.336934117365551     ,-2.42595405519878986E-016)
 ( -53.434263799634472     , 2.39154106196507429E-017)
 ( -36.431766869360608     ,-6.08470442479689469E-017)
 ( -45.723827916344945     , 7.55934331353386111E-017)
 ( -29.571950474232040     ,-2.67383547685348658E-017)
 ( -48.516969101894752     ,-9.57549070853345015E-018)
 ( -69.402001233872397     , 3.16187031578164717E-018)
 ( -34.789621054820984     , 7.13684880209402734E-016)
 ( -23.390788099231074     , 2.58801762179157365E-016)
 ( -69.446753860300547     ,-9.91868878984456770E-017)
 ( -54.601597973099402     , 7.82838502019911470E-017)
 ( -44.837567957451576     , 1.36771735525921222E-017)
 ( -49.460109938941251     ,-2.00195878914790252E-017)
 ( -56.709888392132569     , 3.53618062223951173E-017)
 ( -45.506936249887389     ,-1.12764604595005360E-016)
 ( -47.127203279540858     ,-1.04093678546282819E-016)
 ( -50.623530981290948     , 4.17665551522349349E-016)
 ( -55.864927415407173     ,-1.43191572442981347E-017)
 ( -29.692275250261233     ,-9.16497287099636646E-017)
 ( -68.480338319481334     ,-8.11972757936253447E-017)
