 ( -23.074988834977418     ,-9.57201076581215929E-016) (  8.3804082304851608     , 4.41056410075318435E-015) ( -12.692211136790462     , 9.25360094751088446E-016)
 ( -50.434137621422543     , 3.40391376007983582E-016) ( -10.484759006098969     ,-8.32496892871030261E-017) (  4.4490163843667787     ,-2.87822713599411226E-017)
 ( -37.189636676662182     , 2.56958017372664933E-016) (  2.8615217835323481     , 6.28422951241252937E-016) (  12.302740575895395     , 5.08666785939894466E-016)
 ( -50.024145745838567     , 1.03844278327640209E-015) (  1.4682589444258607     ,-1.43429049746359386E-015) (  14.114078492303545     ,-1.24091002480253212E-016)
 ( -17.718179832747747     ,-5.74334389344364493E-016) (-0.50102003697089614     ,-8.83621702205199463E-016) ( -7.6462047119063943     , 7.98244949984892847E-016)
 ( -44.331622787798452     , 2.89053522097575339E-015) (  17.058221962451483     , 1.29549679162477464E-015) ( -9.2386566508903645     ,-2.15653990071628901E-016)
 ( -67.116525236131224     , 1.61154532888751320E-017) (  9.3854398313652325     , 1.44697459078886907E-015) ( -11.102346409961346     ,-1.17321529512494706E-016)
 ( -32.204908208478983     ,-4.64172044580712771E-016) (  7.6515625648498524     , 6.80455167422572414E-016) (  5.1739262237608976     , 3.08049761847900596E-016)
 ( -26.950639834375259     , 4.15853749477604908E-015) ( -5.6774706186857600     ,-5.37051867005916673E-015) (  2.5544742781043936     ,-6.99585254247639946E-016)
 ( -66.187342560917784     , 2.31928168139666698E-015) ( 9.84109265180066473E-002, 1.84180277586823625E-016) (  3.4336622921995481     , 2.43071597697315492E-016)
 ( -68.806291503788771     ,-5.03932903367059460E-016) ( -5.8869127456146231     , 1.68661050146369149E-015) (  2.4948620105887613     ,-5.45837276045116659E-016)
 ( -45.105388534708084     ,-1.49636573104748193E-016) (  6.3994216623092370     , 3.52928657783989525E-016) (  9.6257784149963879     ,-1.25833437282530265E-016)
 ( -45.543028237416728     ,-4.01340615780775443E-017) (-0.67535902972560002     ,-1.18685429141031248E-016) (  11.976768528475453     , 9.76310175496829412E-018)
 ( -52.764874696895561     , 1.72799093388815901E-016) (  11.233578503821228     ,-6.51825081421195716E-016) (  5.2547837316367421     ,-3.47705378280774911E-016)
 ( -40.605601108954701     , 8.44478983587000189E-016) (  30.000297572895285     , 1.65906949656897694E-016) (  8.7903946808799311     , 8.76320750340008291E-016)
 ( -37.969310845429646     , 1.60578403432161314E-016) ( -5.7679692934468569     , 5.72382430237486379E-016) (  11.966512235607453     ,-7.80683077133749443E-017)
 ( -45.562807476894662     , 2.63482043449297110E-015) (  9.4955807065053150     ,-1.07047855673043804E-015) (  13.442446211602231     , 2.97393811626857147E-015)
 ( -60.276562013630517     , 5.10878826219228047E-017) ( -19.795156933820866     ,-8.62395683994113189E-017) (  2.5909729169416096     ,-2.31934046415038665E-017)
 ( -26.155363000518577     , 5.89087319221756929E-016) ( 0.90236348182597492     ,-2.84818409161988576E-016) ( -2.8030167659228686     ,-2.57558212126907608E-016)
 ( -63.272809782807492     , 5.01906211216857879E-016) ( -11.423544834890919     , 8.49602715147888883E-016) (  1.3101013451413621     , 3.89159227391008057E-016)
